id,original_path,checksum,arch,format,compiler_spec,size
10693,/data/hongyuan/akiba_dataset/firmline/blobs/vpu20_1v.b10_1677628073,a9042a862d3771cfeb2c1e0e008cb20b,n/a,n/a,n/a,42992
10694,/data/hongyuan/akiba_dataset/firmline/blobs/A_Crisp_Ring.bin_1677491978,aca0a45d85bce3c014abb168efa55b7d,n/a,n/a,n/a,881969
10695,/data/hongyuan/akiba_dataset/firmline/blobs/fpctzappfingerprint.b01_1677348408,6a0a3b041d755fa5f3601f2fef3ad248,n/a,n/a,n/a,6696
10696,/data/hongyuan/akiba_dataset/firmline/blobs/aw8697_rtp_Pyxis.bin,5172c1bf6b2339053d05e7ae2c86d502,n/a,n/a,n/a,31192
10697,/data/hongyuan/akiba_dataset/firmline/blobs/tzfullseg.b02,edf1704112d84c06b1f9b21521426f6f,AARCH64:LE:64:v8A,Raw Binary,unknown,129363
10698,/data/hongyuan/akiba_dataset/firmline/blobs/ipa_fws.elf_1677721734,9cb00a9c572bb7eec2d7d110ab54d338,n/a,n/a,n/a,28992
10699,/data/hongyuan/akiba_dataset/firmline/blobs/usb8388_v5.bin,d288445f1fe8cbb14df0aebc6ce1d71f,ARM:LE:32:v8T,Raw Binary,unknown,100292
10700,/data/hongyuan/akiba_dataset/firmline/blobs/fiji_sdma1.bin,fa598e26883984987bdc66384dd12790,n/a,n/a,n/a,10644
10701,/data/hongyuan/akiba_dataset/firmline/blobs/mcfg_sw_OEM_CDMA-Commercial.mbn,d5940b051911480a7ae4e7678577277e,n/a,n/a,n/a,19736
10702,/data/hongyuan/akiba_dataset/firmline/blobs/widevine.b02_1677196654,328f33030b18d35f2d905686b9ee47b9,AARCH64:LE:64:v8A,Raw Binary,unknown,347472
10703,/data/hongyuan/akiba_dataset/firmline/blobs/raven_dmcu.bin,a2c360c14823e0ce568e808b65fb7f1b,n/a,n/a,n/a,23184
10704,/data/hongyuan/akiba_dataset/firmline/blobs/hdcpsrm.mdt_1677516049,7f08d2f27c3cec590f6538987b23e3bb,ARM:LE:32:v8,Executable and Linking Format (ELF),unknown,7516
10705,/data/hongyuan/akiba_dataset/firmline/blobs/aw8697_rtp_Simple.bin,b4639363a245e11b14be68e24fd5c826,n/a,n/a,n/a,544866
10706,/data/hongyuan/akiba_dataset/firmline/blobs/miniBoot.bin,44a7b3b353699ff1a513281239304f63,n/a,n/a,n/a,4800
10707,/data/hongyuan/akiba_dataset/firmline/blobs/adsp.b02_1677364940,d124d94f39b9055f3fdaba522a89239a,n/a,n/a,n/a,7232
10708,/data/hongyuan/akiba_dataset/firmline/blobs/adsp.b19_1677196274,24fe069e729bd67c73f2164038a1e67b,n/a,n/a,n/a,309456
10709,/data/hongyuan/akiba_dataset/firmline/blobs/CprmBleApp.bin@058b082f7c004fbd47a06b5f7fe88e1a,058b082f7c004fbd47a06b5f7fe88e1a,ARM:LE:32:v8T,Raw Binary,unknown,26600
10710,/data/hongyuan/akiba_dataset/firmline/blobs/dpMSA.mbn,4a49a09d6d679a03d6b3c892ef1ce4b5,n/a,n/a,n/a,13508
10711,/data/hongyuan/akiba_dataset/firmline/blobs/ipa_fws.elf_1677220488,b46b23cd8f8aada9c56ca3869e34cf85,n/a,n/a,n/a,33088
10712,/data/hongyuan/akiba_dataset/firmline/blobs/wlanmdsp.mbn_1677425937,7ab05d638c28963f504130d503ed228f,n/a,n/a,n/a,3589792
10713,/data/hongyuan/akiba_dataset/firmline/blobs/slpi.b11_1677401172,b87ce555beb2ff733e962751d71bd135,n/a,n/a,n/a,29516
10714,/data/hongyuan/akiba_dataset/firmline/blobs/R_Sunrise_View.bin_1677491487,afe4f8ca92a620632a5615bc2664575a,n/a,n/a,n/a,720000
10715,/data/hongyuan/akiba_dataset/firmline/blobs/Kung_Fu_RTP.bin_1677232315,89fc14c0e06e3c07940c5cd9389b48a6,n/a,n/a,n/a,188618
10716,/data/hongyuan/akiba_dataset/firmline/blobs/CAMERA_ICP.elf_1677615199,d71e67ef0eabbfe6adfe7fbec06e0858,ARM:LE:32:v8,Executable and Linking Format (ELF),unknown,3315608
10717,/data/hongyuan/akiba_dataset/firmline/blobs/G_sgame_48.bin_1677496260,48fd0920231f7352b2ed8e49b9e111cc,n/a,n/a,n/a,21749
10718,/data/hongyuan/akiba_dataset/firmline/blobs/cmnlib64.mbn_1677362686,d7d797c91382868ac32acd19408bcfca,AARCH64:LE:64:v8A,Executable and Linking Format (ELF),unknown,489123
10719,/data/hongyuan/akiba_dataset/firmline/blobs/slpi.mdt_1677447935,e65350fb639afa9e2938993acd8088fb,n/a,n/a,n/a,8380
