"ID","Hash","vendor","device/MCU model"
178,"e5346266fba6c8a11b711d07e188ef73",,
179,"76e7eca650e7c7355234a545226b53c4",,
180,"f037a4cc898175988e637a0e86732c75",,
181,"3e1f0b915ba85856ee5d7648147bb527","telink",
182,"d0f95a39b049d7784ddcff22ce6bdd6b","telink",
183,"ab46112e5b4d793514f6cee2e825f5e4","nordic",
184,"bd73811dc875bd7e0eda19ec2269b604","nordic",
185,"f6c0e4dc2f4b92afb66c41d52347e2a2",,
186,"43cffb0561c38a75d740be1d6a0c9a21",,
187,"cfbae955ff0745e047071ffd93326bb9","telink",
188,"6e22886ed97d84126cfd19737d7b27c1","telink",
189,"63a26bb5377eaffd3ea8a1305f802506","telink",
190,"5091b3b291628438fb5201f1ab83b05c","telink",
191,"144799a60bc605a3667edbc211e1d367","stm32",
192,"6c9a6a5cbe0e3e15be118d65e089eb3a","stm32",
193,"eb6ece8cfeaa9f752916b3a4255714e8",,
194,"f3c7cbcc56b940d9d8b41c2e3f3f4837",,
195,"3be8790c74044e4e1b1e8cc4ff247c1e",,
196,"3ea5c5b08a66bb8736563d94364d9026",,
197,"90397938d2e5a990b024c4a31052d421",,
198,"9cd4af7b61e70baffbc5cbaaa8a73e3f",,
199,"b14b32055d5259c39163fd96494aba17","nordic",
200,"1e33f22b471bec01038a1e4be1b43c6e",,
201,"9d4a09e61f7ff786522f7d57f4857ca2",,
202,"8d84038710e697467290abbcab43976d",,
203,"ee440d348ef3a325693d93dbfc8ebd99",,
204,"ba3b94d7560ddabfbeedf378dd3bce4e",,
205,"8aa39ef9acb9dbc40a144954a7e175b2","nordic",
206,"df225b0464b8c6d1e40f543479d58311","nordic",
207,"6c1d41bb722531b39e33999872efd50c","nordic",
208,"1721adea3f4c1a9886e9ea4ca23057ba","nordic",
209,"991a0df0e13d026cc4673f0493478058",,
210,"0ffb9990c60873a841ea6b496742fc2d",,
211,"84ab2eceeb9942026efc321cf006b5dd",,
212,"daa20f7b80714c1159c2b230ce8ae08b",,
213,"188f59d6bbbdec6bac0de0819133990c",,
214,"8562b8010e72f5cb76f7bccfb8908265",,
215,"87ee7cf82b2f0eca37755dc83330abaf","nordic",
216,"788d3a34c9bb13306b340be2073e678e","nordic",
217,"0570be69c22690cc95f414c0c34a4f34",,
218,"2071fe39a51d7785b5705810939ced15",,
219,"39fb7790f77019b2e505c935b2aeb48a",,
220,"c252ae04e405d43c4f26bade72f32bb1",,
221,"46034e76a3f255abcb1ac5ed392bc407",,
222,"55042511d2a73707eb83b8b1e9f00aee",,
223,"bdbc6788678ab4ee28037f7655d158ee",,
224,"a262e3ae35306df97e60570ae2a3af97",,
225,"65588b3f6ac13d954e4dd499cb88d314",,
226,"625a8433869f940b2ff3b47150f31693",,
227,"0a3d1bcfbf1975c6f9251d94b5d6068c",,
228,"9f00c652476bcbd1e8f24046426922ac",,
229,"d9738eced2bda75ff2d3c24aaa810161",,
230,"3f0c00d0330958d3c2d5280ddadce47d",,
231,"e2389631827494703b1dac7c81412c4a",,
232,"ecb7052e59cfdab6eaa04ad1084a4ed9",,
233,"ac3d37151cbfa7686e4079ba38db2fa2","esp",
234,"c8dcac4e19e09a2ef7c5e6c5fe87d8ff",,
235,"92f39d3f56f137f8d49dab0bcbb11ed1",,
236,"e7c6a7fa04c0c314dbba5bd1ae1b55c3","stm32",
237,"c1e9496c590b6486304bced0c5732ab3","stm32",
238,"2f338adf0e6b4c937ffc902eddca9067",,
239,"fc771a93902de35106edee9ea396705f","stm32",
240,"b8067b4ef1593a098e9d86738381bdb2",,
241,"e1efa1548cf3b708d553719d45334a8b",,
242,"b940c3be39b3860ff98c10877044293e",,
243,"68d053c3bf0fe523e0368d980fb5af32",,
244,"795e548953bc9f99ea388fa674b47e9d",,
245,"b3dd311753068f7be9a30978a01d4432",,
246,"6d5f12de52e59502c96700eb4b2a2a5f",,
247,"052d629238d8801f81bdeaa2dce8d8b1",,
248,"1f5b0318963952bf4f0e25fc952300ae","cypress",
249,"09f5fce2380d15e4aaac26fb7eb4646e","cypress",
250,"6ae670b2d9296b6bc05c1861fcb53499",,
251,"327d8534d31c0b2d28bd3c7f1f792cf3","nordic",
252,"7d13bd77ac16a1acac08223a17c3f7af",,
253,"4625478241567fb519ced7f9b56dbb24",,
254,"09b2ee1cbe2a4ef0c3348dc3f386992b",,
255,"5ce696631cf3e2d66708baf8d6a78fcb",,
256,"2694cadb5bc2eae0b617504be3c5bde8",,
257,"4eb0a48c4888e7ab232e2a10114651c7",,
258,"c16937d51222a78fddded1dbae11c25c",,
259,"15a825545494c5519fa271f822c215f8",,
260,"cafef406e10cb046ee17fb6157954dd5",,
261,"49ee09f39ce84324d9ff154afff6aea8",,
262,"9eee612337c24d8d16b7159933a547fd",,
263,"7e6c562d81033055de2ea4a20d94b09d",,
264,"737f400e447b00f846e7390a845b679b",,
265,"c9bbeafb8dc6aad5a5c9a62100b0be9c",,
266,"dabb570ed3891768b864b5c255f02c85",,
267,"eed03143bd7462531b2d402bf5ccfcf4",,
268,"0e523557950fa206adf40c34a321d55a",,
269,"17def86e8dff61ce4fd97fd09b569133",,
270,"a591594aada982bed2750a5bf3e6e4d3",,
271,"083692b1f4f2a101361b0308986c69d3",,
272,"f6aafbd271b1f30fce980ee93aef1048",,
273,"05ce21fe66f3f7cd43fe997795aa576e",,
274,"95ddbae203fba6b0ed7afa2d7a616ade","nordic",
275,"c737b63d301551cb72b5a6db23a927b6",,
276,"4bfe2fa83171862ab64b45ee8698c582",,
277,"11141d264fc0ebb6a54792716c49225e",,
278,"db90eb3589368f3f61eced9ddd8f96e4",,
279,"f39863531aca26f24d2c8825b21bae66",,
280,"6ec6f4a7c346fc2ea8e479284c92286c",,
281,"46a0997f5db3db6189866cda407223b1",,
4143,"b3abfb6a1eae675855b6e0e6a38741dd",,
282,"b51f33863d1b17d4d816ebb93191d0ef",,
283,"9ad1426bd2f2b57e4060bd89438f385a",,
284,"52618929d5e8800afbeeb39b7a47a4a2",,
285,"05b8666bdd773cf9b1beb3b8c6d08709",,
286,"12179d0e843be07897e5bc44d096cf52",,
287,"d2ed9bf62592739f7b21f6a674dc9333",,
288,"c63e8667fdee3869df2c40f06b85c92a",,
289,"07d68e89328098c5c40c543c2516d2d2",,
290,"39334c2784a2515449cdf4d3c6491628",,
291,"947006de19217a5e25a62e8448af9e20",,
292,"d0dab5712e30a90ef2a99b858770ae53",,
293,"a5066b8887b1a0868c979da7752851e5",,
294,"2bf3de3661248d4db6ced7dc4c0dc2fe",,
295,"354c1cc78c0260a43c16c722a901d6d0",,
296,"a490edd90662cb3b950bac7cab471bd3",,
297,"ea1b020d1c3cf0ff1bd42a37de2a2d85",,
298,"5fa88d49781ef5c405a8772c82364e4a","nordic",
299,"7a90462b8ff8bf8f35b4d70198e9ff6b",,
300,"773ea509d0b13f6e89b82c1428e44eae",,
301,"fd280673665ae3ba8ab84e60d7f51c8d",,
302,"c8542524d882bb8ab35a161bb131411a",,
303,"ae7cb00c75fc23a93473969bc624428f",,
304,"bf473ba0d3d21986e82c421e59c13458",,
305,"91b7415d3fda6f252f4ddfc9d014f2b5",,
306,"9abecf99baee54d36cdc788e7d98d213",,
307,"551ab6d0355b5945fa4ae7163947fb4a",,
308,"ed417ee6835324236e650344f3442c5e",,
309,"0dafd115792cb1cc18b77b779838fcbe",,
310,"6e0e45f539d24c5d240ea7dff6e80d54",,
311,"8e946952629ebf5fd6cfa4c1789154c5",,
312,"a36b613b0bf9cdccaf1520ba74d9d508",,
313,"583ee0fba39ba4a0bafe06a5c24b3fe1",,
314,"d8e1e3e52be6911dd318357f5cdf9882",,
315,"cc90550f0d96b90423cc9a6ce08664ef",,
316,"ac42d836036a0f62f4b48520d0a93db3",,
317,"5d47d71a33edf850473d1f02554975f2",,
318,"c11e0a0a0372a485f7448cad7701b805",,
319,"36f11730f3bf657e95fd431eb2fda436",,
320,"59330623cf3969bd7d57b85ef4e71d7a",,
321,"626216fbe6b74911779111b2c4c37a12",,
322,"fe7ad9a1d12797b1424a3479ab2a60aa",,
323,"71f578567fb30ad97f87ea48400aff3d",,
324,"b5ab1f53b2dbb9dbf7aca258aca50e14",,
325,"4ce038267c107bbe697279684b65707a",,
326,"70f65f23c0cf7bb067d551d592065013",,
327,"f0e4c0700aac98d2e5275bcdc14c0b53",,
328,"a6e3e967ad7de0efe0dd224eaf237bf3",,
329,"57c42a3588b4a022c37a9edb2c5273e1",,
330,"77a67e6b8b719b8b65a393bcce016de7",,
331,"24cfaa8733681808b0e696299753e317",,
332,"0c487ff583dfe967e5511381d22a06bc",,
333,"a9efafa32a9c8e96c8158a669c69c5d0",,
334,"47bc226aef036207dbca84372259395c",,
335,"d7a6ecb6513b7b37ed15bd6b845cc10a",,
336,"4502871bc9e019ae2c8afc15874706f8",,
337,"4ac919eeb7c22e66c16283fd49636791",,
338,"2cbe4d19257d4b7dfe20c8ab1df73411",,
339,"e890f3894f969aa5bb4ad3e33669ffb2",,
340,"70f96b3d51ceab5c43e945c9e05e9a12","stm32",
341,"06b6f9f34eb1da01cf9c6811c811e716",,
342,"8c0bba18aa619291462393119d8eb6cc",,
343,"29905e77f4deb57d5b4f0d03e8395379",,
344,"efc37cbad6b785e2abc5f2fe491dcf2e",,
