id,gdma_basic_blocks,gdma_coverage,gdma_crashes,gdma_crash_total,multifuzz_basic_blocks,multifuzz_coverage,multifuzz_crashes,multifuzz_crash_total,hoedur_basic_blocks,hoedur_coverage,hoedur_crashes,hoedur_crash_total
1823,852,0.1534,"{""UR"": 1820, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",1820,833,0.1304,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 8, ""Other"": 0}",9,,,,
1824,847,0.1472,"{""UR"": 1771, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",1771,826,0.1256,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 3, ""Other"": 0}",4,,,,
1842,267,0.7994,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,242,0.4201,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 1, ""Other"": 0}",1,75,0.5107,"{""UR+UW+RV+UF+EV"": 0, ""WV"": 0, ""Hang"": 1, ""Other"": 0}",0
1846,181,0.0331,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,958,0.1551,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",0,31,0.0337,"{""UR+UW+RV+UF+EV"": 0, ""WV"": 0, ""Hang"": 8, ""Other"": 0}",0
1866,402,0.0624,"{""UR"": 456, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",456,394,0.0577,"{""UR"": 0, ""UW"": 0, ""RV"": 70, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",70,158,0.0592,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 0, ""Other"": 16}",72
1928,893,0.3358,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,1303,0.3289,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",1,694,0.4071,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 13, ""Other"": 0}",213
1929,1277,0.4803,"{""UR"": 218, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",218,1302,0.3287,"{""UR"": 1, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 0, ""Other"": 0}",1,749,0.4107,"{""UR+UW+RV+UF+EV"": 1, ""WV"": 0, ""Hang"": 11, ""Other"": 0}",222
1932,540,0.1395,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,777,0.1672,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 1, ""Other"": 0}",1,208,0.1269,"{""UR+UW+RV+UF+EV"": 0, ""WV"": 0, ""Hang"": 12, ""Other"": 0}",0
2341,242,0.0555,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,236,0.0537,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 1, ""Other"": 0}",1,3,0.0533,"{""UR+UW+RV+UF+EV"": 0, ""WV"": 0, ""Hang"": 1, ""Other"": 0}",0
2346,64,0.0142,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,61,0.0134,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 1, ""Other"": 0}",1,3,0.0135,"{""UR+UW+RV+UF+EV"": 0, ""WV"": 0, ""Hang"": 1, ""Other"": 0}",0
2347,64,0.0149,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF"": 0, ""EV"": 0, ""WV"": 0, ""UI"": 0, ""Other"": 0}",0,61,0.0143,"{""UR"": 0, ""UW"": 0, ""RV"": 0, ""UF+EV"": 0, ""WV"": 0, ""UI"": 0, ""Timeout"": 1, ""Other"": 0}",1,3,0.0141,"{""UR+UW+RV+UF+EV"": 0, ""WV"": 0, ""Hang"": 1, ""Other"": 0}",0
